dataset_id,observacao_id,longitude_grau,latitude_grau,ano,camada_id,profundidade_inicial_cm,profundidade_final_cm,fracao_grossa_gkg,fracao_argila_gkg,fracao_silte_gkg,fracao_areia_gkg
ctb0080,A43+(Soja),-55.3690984955573,-16.2474262566708,2008,1,0,20,118,360,104,536
ctb0080,A44(Brizantao),-55.4122036338135,-16.3094055085648,2008,1,0,20,114,97,34,869
ctb0080,A44(Cambarazal),-56.2825137519641,-16.5482339592579,2009,1,0,20,139,55,452,493
ctb0080,A44(Cana-de-açúcar),-55.2081905230959,-15.9008012347741,2009,1,0,20,106,608,130,262
ctb0080,A44(Espinhal),-56.2940248028352,-16.5166892611848,2011,1,0,20,115,621,296,83
ctb0080,A44(LVd),-55.3187831807128,-16.1341791936372,2008,1,0,20,128,262,92,646
ctb0080,A44(RQo),-55.4177874183157,-16.3167585088869,2010,1,0,20,119,84,30,886
ctb0080,A44(Soja),-55.3680767562618,-16.2465417985341,2008,1,0,20,127,386,128,486
ctb0080,A44+(Brizantao),-55.4113595137105,-16.3096431761196,2009,1,0,20,109,101,30,869
ctb0080,A44+(Cambarazal),-56.2815209585667,-16.5480678371053,2010,1,0,20,137,395,400,205
ctb0080,A44+(Cana-de-açúcar),-55.2086105599791,-15.8997654920066,2010,1,0,20,106,615,139,246
ctb0080,A44+(Espinhal),-56.2930237761442,-16.5162519865336,2010,1,0,20,104,617,317,66
ctb0080,A44+(LVd),-55.3194946553901,-16.1351788802918,2010,1,0,20,132,96,275,629
ctb0080,A44+(RQo),-55.4168216213216,-16.3169952855885,2008,1,0,20,138,95,30,875
ctb0080,A44+(Soja),-55.3690987931453,-16.2473901103597,2010,1,0,20,111,406,125,469
ctb0080,B1(Brizantao),-55.4115734096137,-16.3074848778164,2009,1,0,20,131,84,30,886
ctb0080,B1(Cambarazal),-56.2829947505414,-16.5499440648316,2010,1,0,20,141,378,400,222
ctb0080,B1(Espinhal),-56.2926139696594,-16.518139853679,2008,1,0,20,117,614,237,149
ctb0080,B1(LVd),-55.3167134411498,-16.1357082252672,2009,1,0,20,125,401,116,483
ctb0080,B1(RQo),-55.4157677027258,-16.3153877948125,2008,1,0,20,124,69,33,898
ctb0080,B1(Soja),-55.370122440522,-16.2446326057721,2008,1,0,20,114,447,131,422
ctb0080,B2(Brizantao),-55.4121262838025,-16.3073896187929,2011,1,0,20,126,88,33,879
ctb0080,B2(Cambarazal),-56.2834271565764,-16.5495930105498,2009,1,0,20,144,311,400,289
ctb0080,B2(Espinhal),-56.2930742315622,-16.5178340666862,2009,1,0,20,135,517,234,249
ctb0080,B2(LVd),-55.3163711225949,-16.1352807808061,2010,1,0,20,139,117,404,479
ctb0080,B2(RQo),-55.4152548521678,-16.3151580200563,2008,1,0,20,125,89,34,877
ctb0080,B2(Soja),-55.3698644673127,-16.2441516553218,2009,1,0,20,109,501,144,355
ctb0080,B2+(Brizantao),-55.4113076238202,-16.3079528192648,2009,1,0,20,123,88,33,879
ctb0080,B2+(Cambarazal),-56.2829458824195,-16.550486263383,2010,1,0,20,144,328,383,289
ctb0080,B2+(Espinhal),-56.2921465464915,-16.5178399701078,2010,1,0,20,117,551,300,149
ctb0080,B2+(LVd),-55.3171499345332,-16.136055077971,2010,1,0,20,123,408,113,479
ctb0080,B2+(RQo),-55.4160540847572,-16.3158508410266,2010,1,0,20,140,89,30,881
ctb0080,B2+(Soja),-55.3706255533017,-16.2448804720481,2011,1,0,20,105,447,131,422
ctb0080,B31(Brizantao),-55.412265695982,-16.3075081496365,2008,1,0,20,116,84,33,883
ctb0080,B31(Cambarazal),-56.2835027328158,-16.5494305598837,2011,1,0,20,144,245,317,438
ctb0080,B31(Espinhal),-56.29326180074,-16.5177895028488,2008,1,0,20,122,451,233,316
ctb0080,B31(LVd),-55.3164751782322,-16.1351370079575,2008,1,0,20,125,404,97,499
